trend trendClass trendLength tokensPerTweet mentionsPerTweet hashTagsPerTweet tweetsWithUrl tweetsWithReplies retweetsPerTweet favoritesPerTweet urlsPerTweet mediasPerTweet tweetsPerUser uniqueUsersCount userStatusesPerUser listedUsersPerUser userFollowersPerUser userFriendsPerUser avgVerifiedUsers
towie, Event, 5, 4.918323863636363, 0.2830255681818182, 0.6654829545454546, 0.002840909090909091, 0.10369318181818182, 0.0, 0.0, 0.002840909090909091, 0.01740056818181818, 1.2840857273141815, 2193, 7796.770633834929, 1.9425444596443229, 817.2480620155038, 640.7770177838577, 4.5599635202918376E-4
firstdates, Event, 10, 4.938195302843016, 0.1161928306551298, 1.1977750309023485, 0.0012360939431396785, 0.05315203955500618, 0.0, 0.0, 0.0012360939431396785, 0.011124845488257108, 1.8098434004474273, 447, 7756.774049217002, 3.3467561521252795, 496.1140939597315, 560.3378076062639, 0.0022371364653243847
paidmediaagentarrested, Event, 22, 13.1875, 0.009615384615384616, 1.0, 0.17307692307692307, 0.009615384615384616, 0.0, 0.0, 0.17307692307692307, 0.7307692307692307, 104.0, 2, 3771.5, 0.0, 190.0, 232.5, 0.0
vote1duk, Meme, 8, 3.3896713615023475, 0.27699530516431925, 2.779342723004695, 0.009389671361502348, 0.2112676056338028, 0.0, 0.0, 0.009389671361502348, 0.15023474178403756, 2.9178082191780823, 73, 11135.493150684932, 11.917808219178083, 2755.6301369863013, 1435.3150684931506, 0.0
partywrightaroundtheworld, Event, 25, 4.475409836065574, 0.8557377049180328, 1.2524590163934426, 0.019672131147540985, 0.29180327868852457, 0.0, 0.0, 0.019672131147540985, 0.03278688524590164, 1.2708333333333333, 240, 5475.354166666667, 3.025, 595.025, 571.5583333333333, 0.0
votethewanteduk, Meme, 15, 3.389937106918239, 0.660377358490566, 2.0345911949685536, 0.0, 0.3805031446540881, 0.0, 0.0, 0.0, 0.1289308176100629, 6.489795918367347, 49, 25972.408163265307, 8.285714285714286, 2116.061224489796, 1991.9795918367347, 0.0
voteunionjuk, Meme, 12, 3.9919354838709675, 1.3508064516129032, 2.25, 0.004032258064516129, 0.3911290322580645, 0.0, 0.0, 0.004032258064516129, 0.12096774193548387, 7.085714285714285, 35, 15112.657142857142, 7.628571428571429, 2525.1428571428573, 2536.6, 0.0
creamfields2014, Event, 15, 5.0, 0.564, 1.364, 0.096, 0.208, 0.0, 0.0, 0.1, 0.136, 1.1363636363636365, 220, 5289.840909090909, 2.8045454545454547, 527.2590909090909, 501.5090909090909, 0.0
camilalovesfries, Meme, 16, 4.670329670329671, 0.9560439560439561, 1.120879120879121, 0.02197802197802198, 0.33516483516483514, 0.0, 0.0, 0.02197802197802198, 0.04395604395604396, 9.578947368421053, 19, 40306.10526315789, 20.57894736842105, 4089.2631578947367, 3185.842105263158, 0.0
mrmeanorto16k, Meme, 13, 7.930817610062893, 1.9937106918238994, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 159.0, 1, 12550.0, 1.0, 417.0, 382.0, 0.0
tfma2014, Event, 8, 7.385245901639344, 0.4180327868852459, 1.4754098360655739, 0.10655737704918032, 0.06557377049180328, 0.0, 0.0, 0.10655737704918032, 0.319672131147541, 1.967741935483871, 62, 2609.016129032258, 13.774193548387096, 520.7258064516129, 606.0645161290323, 0.0
setgoodtuesdays, Meme, 15, 3.8613861386138613, 0.13861386138613863, 1.0891089108910892, 0.0, 0.039603960396039604, 0.0, 0.0, 0.0, 0.0, 11.222222222222221, 9, 24136.444444444445, 0.8888888888888888, 765.6666666666666, 671.7777777777778, 0.0
mufc, Event, 4, 9.17605633802817, 0.5234741784037559, 1.5751173708920188, 0.06572769953051644, 0.2746478873239437, 0.0, 0.0, 0.06572769953051644, 0.13145539906103287, 1.298780487804878, 328, 7731.109756097561, 6.112804878048781, 848.030487804878, 778.3231707317074, 0.0
cfc, Event, 3, 6.74582560296846, 0.18923933209647495, 1.6456400742115027, 0.03339517625231911, 0.1150278293135436, 0.0, 0.0, 0.03339517625231911, 0.06679035250463822, 1.501392757660167, 359, 7425.220055710306, 6.67966573816156, 790.6685236768802, 656.6963788300835, 0.002785515320334262
lastnight, Meme, 9, 4.0056925996204935, 1.3776091081593929, 1.0398481973434535, 0.127134724857685, 0.4990512333965844, 0.0, 0.0, 0.127134724857685, 0.5977229601518027, 3.5850340136054424, 147, 9008.482993197278, 6.945578231292517, 1162.3197278911564, 943.469387755102, 0.0
overloadboybandinwestmidlands, Meme, 29, 6.870967741935484, 0.996415770609319, 1.125448028673835, 0.6523297491039427, 0.5663082437275986, 0.0, 0.0, 0.6523297491039427, 0.0, 15.5, 18, 17070.88888888889, 4.277777777777778, 1548.9444444444443, 1515.2222222222222, 0.0
selfie, Meme, 6, 5.448065173116089, 0.48268839103869654, 0.8187372708757638, 0.14052953156822812, 0.2505091649694501, 0.0, 0.0, 0.14052953156822812, 0.46435845213849286, 1.0959821428571428, 448, 12174.13392857143, 7.196428571428571, 1374.421875, 900.7790178571429, 0.0
oasisannouncement, Event, 17, 5.520833333333333, 0.15625, 1.3333333333333333, 0.041666666666666664, 0.0625, 0.0, 0.0, 0.041666666666666664, 0.020833333333333332, 1.1294117647058823, 85, 7742.388235294117, 3.6588235294117646, 536.5882352941177, 652.5882352941177, 0.0
bbloggers, Meme, 9, 6.476744186046512, 0.46511627906976744, 1.941860465116279, 0.36046511627906974, 0.1744186046511628, 0.0, 0.0, 0.36046511627906974, 0.12790697674418605, 2.0, 43, 8672.488372093023, 8.325581395348838, 983.4186046511628, 765.9767441860465, 0.0
