trend trendClass trendLength relevantTweetsFromStream tokensPerTweet mentionsPerTweet hashTagsPerTweet tweetsWithUrl tweetsWithReplies tweetsWithRts retweetsPerTweet favoritesPerTweet urlsPerTweet mediasPerTweet averageRank mostDominantRank maximumRank mostDominantSlice duration durationOfLongestDateRange daySlices 1 2 3 4 5 6 7
iamlondonsbillionthgirl, Meme, 23, 2.5511999436976567E-4, 3.054421768707483, 1.1020408163265305, 1.1564625850340136, 0.0, 0.5986394557823129, 0.061224489795918366, 0.061224489795918366, 0.06802721088435375, 0.0, 0.047619047619047616, 1.52, 1, 1, 7, 25, 25, false, false, false, false, false, false, true, true
throwbackthursday, Meme, 17, 3.8707861214723065E-4, 5.08, 1.0742857142857143, 1.8085714285714285, 0.3585714285714286, 0.045714285714285714, 0.4514285714285714, 0.4514285714285714, 8.901428571428571, 0.36, 0.6114285714285714, 5.157894736842105, 3, 3, 2, 19, 9, true, false, true, true, false, false, true, true
askboris, Meme, 8, 1.4075585896262933E-4, 9.273381294964029, 1.6906474820143884, 1.014388489208633, 0.02158273381294964, 0.14388489208633093, 0.7553956834532374, 0.7553956834532374, 9.43884892086331, 0.02158273381294964, 0.03597122302158273, 2.5142857142857142, 1, 1, 5, 70, 70, true, true, true, true, true, false, false, false
firstdates, Event, 10, 3.606868885917376E-4, 6.774049217002237, 0.9664429530201343, 1.1118568232662192, 0.013422818791946308, 0.21029082774049218, 0.3400447427293065, 0.3400447427293065, 1.825503355704698, 0.013422818791946308, 0.04697986577181208, 5.545454545454546, 6, 5, 1, 66, 66, true, true, true, false, false, false, false, false
askjack, Meme, 7, 0.0014955310014779365, 8.535194174757281, 1.8859223300970873, 1.0048543689320388, 0.0012135922330097086, 0.04611650485436893, 0.9114077669902912, 0.9114077669902912, 3008.1808252427186, 0.0012135922330097086, 0.0024271844660194173, 3.4285714285714284, 4, 2, 5, 63, 63, true, true, true, true, true, true, false, false
tbt, Meme, 3, 8.885213597015976E-4, 5.10905892700088, 0.6156552330694811, 2.400175901495163, 0.6693051890941073, 0.03781882145998241, 0.2102022867194371, 0.2102022867194371, 1.86103781882146, 0.6781002638522428, 0.3113456464379947, 4.75, 7, 2, 4, 136, 56, true, true, true, true, true, true, true, true
thankyou, Meme, 8, 0.0010116827362938983, 7.887530562347188, 1.2787286063569683, 0.11246943765281174, 0.04156479217603912, 0.5012224938875306, 0.4235941320293399, 0.4235941320293399, 13124.110024449878, 0.042787286063569685, 0.04339853300733496, 5.833333333333333, 6, 5, 2, 6, 6, false, false, true, true, false, false, false, false
lbcdebate, Event, 9, 4.3986205925821664E-5, 11.517482517482517, 1.2307692307692308, 1.06993006993007, 0.07692307692307693, 0.03496503496503497, 0.8531468531468531, 0.8531468531468531, 65.95104895104895, 0.07692307692307693, 0.055944055944055944, 1.8130841121495327, 2, 1, 1, 107, 107, true, true, true, false, false, false, false, false
turkey, Event, 6, 0.0015483144485889226, 10.221597300337457, 0.952755905511811, 0.18785151856017998, 0.6355455568053994, 0.0281214848143982, 0.7919010123734533, 0.7919010123734533, 557.0112485939258, 0.6456692913385826, 0.024746906636670417, 1.7446808510638299, 1, 1, 6, 47, 46, false, false, false, false, false, true, true, true
ukraine, Event, 7, 0.0012228165247378422, 10.217554388597149, 0.7914478619654913, 0.2040510127531883, 0.6624156039009752, 0.05326331582895724, 0.6421605401350338, 0.6421605401350338, 125.02625656414104, 0.6729182295573893, 0.047261815453863466, 7.758620689655173, 7, 3, 3, 29, 11, true, false, true, true, true, true, false, false
