trend trendClass trendLength relevantTweetsFromStream tokensPerTweet mentionsPerTweet hashTagsPerTweet tweetsWithUrl tweetsWithReplies tweetsWithRts retweetsPerTweet favoritesPerTweet urlsPerTweet mediasPerTweet averageRank mostDominantRank maximumRank mostDominantSlice duration durationOfLongestDateRange daySlices 1 2 3 4 5 6 7
letsgowarriors, Event, 14, 0.0016562718356150203, 10.219123505976096, 2.0159362549800797, 2.0637450199203187, 0.1952191235059761, 0.00796812749003984, 0.9920318725099602, 0.9920318725099602, 85.89243027888446, 0.1952191235059761, 0.0199203187250996, 0.0, 0, 0, 0, 0, 0, false, false, false, false, false, false, false, false
raidernation, Event, 12, 0.0046065060428042755, 6.63407550822846, 1.4298160696999032, 2.2991287512100675, 0.17521781219748306, 0.03872216844143272, 0.8915779283639884, 0.8915779283639884, 127.3727008712488, 0.1819941916747338, 0.12003872216844143, 0.0, 0, 0, 0, 0, 0, false, false, false, false, false, false, false, false
djaxtooakland, Meme, 13, 0.010765766931497632, 5.608028993587957, 1.3125174240312238, 1.516030108725955, 0.14691943127962084, 0.08140507387789239, 0.824923334262615, 0.824923334262615, 15.893504321159744, 0.14691943127962084, 0.15556175076665738, 0.0, 0, 0, 0, 0, 0, false, false, false, false, false, false, false, false
happybirthdayladygaga, Event, 21, 0.0010610491446908725, 4.08130081300813, 1.983739837398374, 1.991869918699187, 1.0, 0.0, 0.991869918699187, 0.991869918699187, 1323.0975609756097, 1.0, 1.0, 0.0, 0, 0, 0, 0, 0, false, false, false, false, false, false, false, false
stephhadmelike, Meme, 14, 7.073660964605816E-4, 11.451219512195122, 1.0853658536585367, 1.0, 0.0, 0.04878048780487805, 0.9512195121951219, 0.9512195121951219, 114.41463414634147, 0.0, 1.0, 0.0, 0, 0, 0, 0, 0, false, false, false, false, false, false, false, false
oakland, Event, 7, 0.006021238235725438, 8.525904203323558, 0.7908113391984359, 1.2854349951124144, 0.41348973607038125, 0.056695992179863146, 0.5884652981427175, 0.5884652981427175, 141.4516129032258, 0.426197458455523, 0.28347996089931576, 0.0, 0, 0, 0, 0, 0, false, false, false, false, false, false, false, false
49ers, Event, 5, 0.002613803990579954, 10.212307692307693, 1.0246153846153847, 1.3384615384615384, 0.7169230769230769, 0.024615384615384615, 0.7876923076923077, 0.7876923076923077, 121.18153846153847, 0.7261538461538461, 0.28, 0.0, 0, 0, 0, 0, 0, false, false, false, false, false, false, false, false
greenwall, Event, 9, 0.0021738567842447144, 6.067669172932331, 2.4511278195488724, 2.1654135338345863, 0.8421052631578947, 0.0037593984962406013, 0.981203007518797, 0.981203007518797, 178.18796992481202, 0.8421052631578947, 0.7894736842105263, 0.0, 0, 0, 0, 0, 0, false, false, false, false, false, false, false, false
greencollar, Event, 11, 0.001682151083046505, 6.347169811320755, 1.0188679245283019, 2.3207547169811322, 0.033962264150943396, 0.0037735849056603774, 1.0566037735849056, 1.0566037735849056, 178.90943396226416, 0.033962264150943396, 0.5924528301886792, 0.0, 0, 0, 0, 0, 0, false, false, false, false, false, false, false, false
athletics, Event, 9, 0.0028122115542213366, 8.79140127388535, 0.9617834394904459, 2.020700636942675, 0.12738853503184713, 0.03184713375796178, 0.8996815286624203, 0.8996815286624203, 70.57006369426752, 0.12738853503184713, 0.2085987261146497, 0.0, 0, 0, 0, 0, 0, false, false, false, false, false, false, false, false
gameinsight, Meme, 11, 0.0018288001518249183, 5.572357723577236, 0.0, 2.991869918699187, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0, 0, 0, 0, 0, false, false, false, false, false, false, false, false
lesportsacxbenefit, Meme, 18, 0.0011300604711748316, 4.183206106870229, 2.9923664122137406, 2.0, 1.0, 0.0, 1.0, 1.0, 379.53435114503816, 1.1374045801526718, 0.8549618320610687, 0.0, 0, 0, 0, 0, 0, false, false, false, false, false, false, false, false
littlemonsters, Event, 14, 0.0010351698972593877, 4.008333333333334, 2.0, 2.0083333333333333, 0.9916666666666667, 0.008333333333333333, 0.9916666666666667, 0.9916666666666667, 1355.3333333333333, 0.9916666666666667, 0.9916666666666667, 0.0, 0, 0, 0, 0, 0, false, false, false, false, false, false, false, false
earthquake, Event, 10, 0.004641011706046255, 8.351515151515152, 0.8945454545454545, 0.8278787878787879, 0.23393939393939395, 0.09696969696969697, 0.4812121212121212, 0.4812121212121212, 9.978181818181818, 0.2412121212121212, 0.17333333333333334, 0.0, 0, 0, 0, 0, 0, false, false, false, false, false, false, false, false
raiders, Event, 7, 0.008902461116430734, 8.98712667353244, 1.4098867147270855, 1.546343975283213, 0.3964984552008239, 0.030895983522142123, 0.9109165808444902, 0.9109165808444902, 149.6529351184346, 0.4140061791967044, 0.14057672502574664, 0.0, 0, 0, 0, 0, 0, false, false, false, false, false, false, false, false
