trend, trendClass, trendLength, tokensPerTweet, mentionsPerTweet, hashTagsPerTweet, tweetsWithUrl, tweetsWithReplies, retweetsPerTweet, favoritesPerTweet, urlsPerTweet, mediasPerTweet, tweetsPerUser, uniqueUsersCount, userStatusesPerUser, listedUsersPerUser, userFollowersPerUser, userFriendsPerUser, avgVerifiedUsers
mufc_April_1_4,  Event,  4,  6.5905598243688255,  0.18221734357848518,  1.4994511525795828,  0.021222100256128796,  0.08122941822173436,  0.0,  0.0,  0.021222100256128796,  0.05195755579948774,  1.6654478976234004,  1641,  6944.060329067642,  6.887263863497867,  823.4229128580134,  622.4515539305302,  6.093845216331506E-4
followmehayes_April_1_4,  Meme,  13,  3.0358565737051793,  0.852589641434263,  4.0239043824701195,  0.0,  0.7848605577689243,  0.0,  0.0,  0.0,  0.00398406374501992,  15.212121212121213,  33,  5370.787878787879,  1.1515151515151516,  658.3333333333334,  801.3333333333334,  0.0
aprilfool_April_1_4,  Event,  9,  5.936952714535902,  0.5183887915936952,  1.4956217162872154,  0.10332749562171628,  0.28021015761821366,  0.0,  0.0,  0.10332749562171628,  0.14010507880910683,  1.0959692898272553,  521,  7387.253358925144,  13.366602687140116,  928.7389635316698,  881.1247600767755,  0.0
mufcbayern_April_1_4,  Event,  10,  6.222732491389208,  0.18025258323765786,  1.6234213547646383,  0.02066590126291619,  0.06314580941446613,  0.0,  0.0,  0.02066590126291619,  0.08495981630309989,  1.4965635738831615,  582,  5368.3642611683845,  3.5738831615120277,  703.8969072164948,  604.3676975945017,  0.001718213058419244
championsleague_April_1_4,  Event,  15,  6.039867109634551,  0.19435215946843853,  1.973421926910299,  0.02823920265780731,  0.05149501661129568,  0.0,  0.0,  0.02823920265780731,  0.03820598006644518,  1.3172866520787747,  457,  5826.54704595186,  3.638949671772429,  535.9124726477024,  694.7024070021882,  0.0
thankyouthewanted_April_1_4,  Event,  17,  2.792114695340502,  0.4014336917562724,  1.1863799283154122,  0.010752688172043012,  0.17562724014336917,  0.0,  0.0,  0.010752688172043012,  0.06093189964157706,  4.5,  62,  27298.59677419355,  15.709677419354838,  2000.1774193548388,  1811.758064516129,  0.0
lufc_April_1_4,  Event,  4,  7.691222570532916,  0.390282131661442,  1.244514106583072,  0.032915360501567396,  0.20689655172413793,  0.0,  0.0,  0.032915360501567396,  0.06739811912225706,  1.8546511627906976,  344,  7439.895348837209,  4.979651162790698,  647.9680232558139,  730.3895348837209,  0.0
followmenash_April_1_4,  Meme,  12,  4.672742336371168,  0.835956917978459,  1.8980944490472245,  8.285004142502071E-4,  0.487986743993372,  0.0,  0.0,  8.285004142502071E-4,  0.008285004142502071,  9.143939393939394,  132,  7903.636363636364,  4.9772727272727275,  1475.469696969697,  1350.6363636363637,  0.0
aprilfools_April_1_4,  Event,  10,  5.878612716763006,  0.45375722543352603,  1.361271676300578,  0.07225433526011561,  0.20520231213872833,  0.0,  0.0,  0.07225433526011561,  0.14739884393063585,  1.0548780487804879,  656,  8330.36737804878,  6.379573170731708,  1056.0365853658536,  692.5670731707318,  0.001524390243902439
ucl_April_1_4,  Event,  3,  7.1881918819188195,  0.22509225092250923,  1.7509225092250922,  0.05350553505535055,  0.07011070110701106,  0.0,  0.0,  0.05350553505535055,  0.05166051660516605,  1.59882005899705,  339,  7747.790560471976,  3.631268436578171,  602.9675516224189,  668.0766961651917,  0.0
manutdbayern_April_1_4,  Event,  12,  5.993610223642173,  0.18210862619808307,  1.6389776357827477,  0.03194888178913738,  0.07987220447284345,  0.0,  0.0,  0.03194888178913738,  0.06070287539936102,  1.247011952191235,  251,  5379.322709163346,  6.398406374501992,  1068.3904382470118,  584.7171314741036,  0.0
yespimpmysummerball_April_1_4,  Meme,  19,  3.3843283582089554,  0.6828358208955224,  1.1529850746268657,  0.014925373134328358,  0.5708955223880597,  0.0,  0.0,  0.014925373134328358,  0.055970149253731345,  6.871794871794871,  39,  5490.025641025641,  0.8974358974358975,  216.10256410256412,  308.8205128205128,  0.0
frankieknuckles_April_1_4,  Event,  15,  6.212765957446808,  0.19574468085106383,  1.8127659574468085,  0.16595744680851063,  0.08085106382978724,  0.0,  0.0,  0.16595744680851063,  0.09361702127659574,  1.1298076923076923,  208,  5973.8125,  20.298076923076923,  1886.2788461538462,  634.8894230769231,  0.004807692307692308
trndnl_April_1_4,  Meme,  6,  8.250656167979002,  0.3359580052493438,  1.421259842519685,  0.6377952755905512,  0.14698162729658792,  0.0,  0.0,  0.6377952755905512,  0.27034120734908135,  127.0,  6,  25885.833333333332,  14.666666666666666,  1396.5,  222.5,  0.0
himymfinale_April_1_4,  Event,  11,  5.871335504885994,  0.1742671009771987,  1.3957654723127035,  0.016286644951140065,  0.043973941368078175,  0.0,  0.0,  0.016286644951140065,  0.03257328990228013,  1.3860045146726863,  443,  6967.871331828443,  3.284424379232506,  379.21218961625283,  453.4808126410835,  0.0
atmosphere14_April_1_4,  Event,  12,  7.308333333333334,  0.35,  1.2416666666666667,  0.008333333333333333,  0.041666666666666664,  0.0,  0.0,  0.008333333333333333,  0.325,  20.0,  6,  3681.0,  29.166666666666668,  703.8333333333334,  747.8333333333334,  0.0
yespimpmysummerballteesside_April_1_4,  Meme,  27,  1.9838709677419355,  0.11827956989247312,  1.053763440860215,  0.0,  0.04838709677419355,  0.0,  0.0,  0.0,  0.021505376344086023,  10.333333333333334,  18,  4398.333333333333,  0.5,  248.72222222222223,  319.3888888888889,  0.0
ripfrankieknuckles_April_1_4,  Event,  18,  4.777070063694268,  0.34394904458598724,  1.4012738853503184,  0.15286624203821655,  0.21019108280254778,  0.0,  0.0,  0.15286624203821655,  0.08917197452229299,  1.3771929824561404,  114,  7572.894736842105,  6.482456140350878,  623.8421052631579,  705.1929824561404,  0.0
iamnottinghamsbillionthgirl_April_1_4,  Meme,  27,  2.018348623853211,  0.3944954128440367,  1.0825688073394495,  0.009174311926605505,  0.3211009174311927,  0.0,  0.0,  0.009174311926605505,  0.03669724770642202,  5.190476190476191,  21,  9716.333333333334,  4.095238095238095,  509.1904761904762,  619.1428571428571,  0.0
towie_April_2_4,  Event,  5,  5.284129918141009,  0.36915764457354105,  0.6886717718510694,  0.007129654079746501,  0.11618695537364669,  0.0,  0.0,  0.007129654079746501,  0.02350145233694217,  1.3938167096061833,  2717,  8036.152373941848,  1.9193963930806035,  636.2171512697829,  596.6827383143172,  0.0
europedebate_April_2_4,  Event,  12,  8.031537450722734,  0.21222076215505914,  1.3350854139290407,  0.020367936925098553,  0.09986859395532194,  0.0,  0.0,  0.020367936925098553,  0.03613666228646518,  2.302571860816944,  661,  7402.2375189107415,  13.874432677760968,  702.2647503782148,  659.9319213313162,  0.0030257186081694403
championsleague_April_2_4,  Event,  15,  6.146031746031746,  0.24761904761904763,  2.066666666666667,  0.03492063492063492,  0.06031746031746032,  0.0,  0.0,  0.03492063492063492,  0.06031746031746032,  1.3125,  240,  6026.795833333334,  2.9625,  471.15833333333336,  650.6791666666667,  0.0
cfc_April_2_4,  Event,  3,  6.532824427480916,  0.22137404580152673,  1.5648854961832062,  0.015267175572519083,  0.10076335877862595,  0.0,  0.0,  0.015267175572519083,  0.044274809160305344,  1.5595238095238095,  420,  8334.683333333332,  4.352380952380952,  790.9452380952381,  568.5452380952381,  0.0
firstdates_April_2_4,  Meme,  10,  5.199226305609284,  0.19342359767891681,  1.172147001934236,  0.005802707930367505,  0.0851063829787234,  0.0,  0.0,  0.005802707930367505,  0.019342359767891684,  1.8731884057971016,  276,  8605.13768115942,  4.5978260869565215,  714.3731884057971,  567.9021739130435,  0.0
nickvnigel_April_2_4,  Event,  10,  8.014367816091953,  0.2672413793103448,  1.6666666666666667,  0.022988505747126436,  0.09195402298850575,  0.0,  0.0,  0.022988505747126436,  0.04310344827586207,  1.9885714285714287,  175,  8133.354285714286,  13.714285714285714,  937.5714285714286,  688.2571428571429,  0.0
lufc_April_2_4,  Event,  4,  8.49367088607595,  0.5411392405063291,  1.3765822784810127,  0.08227848101265822,  0.2626582278481013,  0.0,  0.0,  0.08227848101265822,  0.0759493670886076,  1.8160919540229885,  174,  7203.252873563219,  5.350574712643678,  907.9367816091954,  839.3275862068965,  0.0
daretozlatan_April_2_4,  Meme,  12,  3.5,  0.34959349593495936,  1.3373983739837398,  0.012195121951219513,  0.17073170731707318,  0.0,  0.0,  0.012195121951219513,  0.08943089430894309,  1.055793991416309,  233,  7409.798283261803,  4.266094420600858,  1060.1802575107297,  572.7167381974249,  0.004291845493562232
