trend trendClass trendLength relevantTweetsFromStream tokensPerTweet mentionsPerTweet hashTagsPerTweet tweetsWithUrl tweetsWithReplies tweetsWithRts retweetsPerTweet favoritesPerTweet urlsPerTweet mediasPerTweet averageRank mostDominantRank maximumRank mostDominantSlice duration durationOfLongestDateRange daySlices 1 2 3 4 5 6 7
text daff to 50300, Meme, 18, 0.0017811421574084382, 8.312883435582823, 0.8650306748466258, 0.22085889570552147, 0.1165644171779141, 0.3496932515337423, 0.294478527607362, 0.294478527607362, 2.049079754601227, 0.13496932515337423, 0.08588957055214724, 2.9166666666666665, 3, 2, 0, 12, 12, true, false, false, false, false, false, false, false
jamesto1m, Meme, 9, 0.001358120895023934, 6.414507772020725, 1.932642487046632, 1.160621761658031, 0.0, 0.9689119170984456, 0.02072538860103627, 0.02072538860103627, 0.02072538860103627, 0.0, 0.0051813471502590676, 2.45, 2, 2, 7, 20, 20, false, false, false, false, false, false, false, true
latelate, Event, 8, 9.79628186574641E-4, 7.383647798742138, 0.5786163522012578, 1.3773584905660377, 0.018867924528301886, 0.11949685534591195, 0.27044025157232704, 0.27044025157232704, 0.3836477987421384, 0.018867924528301886, 0.09433962264150944, 2.8192307692307694, 3, 1, 0, 260, 260, true, true, true, true, true, true, true, true
kca, Event, 3, 0.001658688634086608, 5.066666666666666, 1.1090909090909091, 2.0, 0.024242424242424242, 0.4121212121212121, 0.5454545454545454, 0.5454545454545454, 12.345454545454546, 0.030303030303030304, 0.4666666666666667, 8.452830188679245, 8, 5, 6, 53, 49, false, false, false, false, true, true, true, true
